"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","203","Успешная регистрация с валидными данными","","Sat Mar 21 11:25:19 UTC 2026","broken","Sat Mar 21 11:25:19 UTC 2026","","Тесты регистрации","tests.RegisterTest","testSuccessfulRegistration"
"","211","Вход через кнопку в форме восстановления пароля","","Sat Mar 21 11:25:18 UTC 2026","broken","Sat Mar 21 11:25:18 UTC 2026","","Тесты входа в аккаунт","tests.LoginTest","testLoginViaForgotPasswordForm"
"","205","Переход из личного кабинета в конструктор по логотипу","","Sat Mar 21 11:25:19 UTC 2026","broken","Sat Mar 21 11:25:20 UTC 2026","","Тесты навигации","tests.NavigationTest","testNavigateFromPersonalAccountViaLogo"
"","216","Переход в личный кабинет по клику на 'Личный кабинет'","","Sat Mar 21 11:25:19 UTC 2026","broken","Sat Mar 21 11:25:19 UTC 2026","","Тесты навигации","tests.NavigationTest","testNavigateToPersonalAccount"
"","205","Вход через кнопку в форме регистрации","","Sat Mar 21 11:25:19 UTC 2026","broken","Sat Mar 21 11:25:19 UTC 2026","","Тесты входа в аккаунт","tests.LoginTest","testLoginViaRegisterForm"
"","203","Вход через кнопку 'Войти в аккаунт' на главной","","Sat Mar 21 11:25:18 UTC 2026","broken","Sat Mar 21 11:25:18 UTC 2026","","Тесты входа в аккаунт","tests.LoginTest","testLoginViaMainPageButton"
"","4203","testYandexBrowserWorks()","","Sat Mar 21 11:25:13 UTC 2026","broken","Sat Mar 21 11:25:17 UTC 2026","","tests.YandexBrowserTest","tests.YandexBrowserTest","testYandexBrowserWorks"
"","203","Переход из личного кабинета в конструктор по кнопке 'Конструктор'","","Sat Mar 21 11:25:20 UTC 2026","broken","Sat Mar 21 11:25:20 UTC 2026","","Тесты навигации","tests.NavigationTest","testNavigateFromPersonalAccountToConstructor"
"","268","Переход к разделу 'Булки'","","Sat Mar 21 11:25:17 UTC 2026","broken","Sat Mar 21 11:25:17 UTC 2026","","Тесты конструктора","tests.ConstructorTest","testNavigateToBuns"
"","202","Вход через кнопку 'Личный кабинет'","","Sat Mar 21 11:25:18 UTC 2026","broken","Sat Mar 21 11:25:19 UTC 2026","","Тесты входа в аккаунт","tests.LoginTest","testLoginViaPersonalAccountButton"
"","208","Переход к разделу 'Начинки'","","Sat Mar 21 11:25:18 UTC 2026","broken","Sat Mar 21 11:25:18 UTC 2026","","Тесты конструктора","tests.ConstructorTest","testNavigateToFillings"
"","213","Выход по кнопке 'Выйти' в личном кабинете","","Sat Mar 21 11:25:18 UTC 2026","broken","Sat Mar 21 11:25:18 UTC 2026","","Тесты выхода из аккаунта","tests.LogoutTest","testLogout"
"","220","Переход к разделу 'Соусы'","","Sat Mar 21 11:25:17 UTC 2026","broken","Sat Mar 21 11:25:18 UTC 2026","","Тесты конструктора","tests.ConstructorTest","testNavigateToSauces"
"","213","Ошибка при регистрации с невалидным паролем","","Sat Mar 21 11:25:19 UTC 2026","broken","Sat Mar 21 11:25:19 UTC 2026","","Тесты регистрации","tests.RegisterTest","testRegistrationWithInvalidPassword"
